user_id,house_id,rating
1,66fd899b15ecd00aa66615e0,4
2,66fd899b15ecd00aa66615e0,4
3,66fd899b15ecd00aa66615e0,1
4,66fd899b15ecd00aa66615e0,3
5,66fd899b15ecd00aa66615e0,3
6,66fd899b15ecd00aa66615e0,1
7,66fd899b15ecd00aa66615e0,4
8,66fd899b15ecd00aa66615e0,3
9,66fd899b15ecd00aa66615e0,1
10,66fd899b15ecd00aa66615e0,5
1,66fd899b15ecd00aa66615e2,3
2,66fd899b15ecd00aa66615e2,3
3,66fd899b15ecd00aa66615e2,1
4,66fd899b15ecd00aa66615e2,4
5,66fd899b15ecd00aa66615e2,5
6,66fd899b15ecd00aa66615e2,2
7,66fd899b15ecd00aa66615e2,3
8,66fd899b15ecd00aa66615e2,1
9,66fd899b15ecd00aa66615e2,1
10,66fd899b15ecd00aa66615e2,5
1,66fd899b15ecd00aa66615e4,4
2,66fd899b15ecd00aa66615e4,2
3,66fd899b15ecd00aa66615e4,2
4,66fd899b15ecd00aa66615e4,2
5,66fd899b15ecd00aa66615e4,5
6,66fd899b15ecd00aa66615e4,2
7,66fd899b15ecd00aa66615e4,3
8,66fd899b15ecd00aa66615e4,5
9,66fd899b15ecd00aa66615e4,1
10,66fd899b15ecd00aa66615e4,4
1,66fd899c15ecd00aa66615e6,3
2,66fd899c15ecd00aa66615e6,3
3,66fd899c15ecd00aa66615e6,3
4,66fd899c15ecd00aa66615e6,3
5,66fd899c15ecd00aa66615e6,1
6,66fd899c15ecd00aa66615e6,3
7,66fd899c15ecd00aa66615e6,2
8,66fd899c15ecd00aa66615e6,5
9,66fd899c15ecd00aa66615e6,5
10,66fd899c15ecd00aa66615e6,4
1,66fd899c15ecd00aa66615e8,5
2,66fd899c15ecd00aa66615e8,4
3,66fd899c15ecd00aa66615e8,1
4,66fd899c15ecd00aa66615e8,4
5,66fd899c15ecd00aa66615e8,5
6,66fd899c15ecd00aa66615e8,2
7,66fd899c15ecd00aa66615e8,1
8,66fd899c15ecd00aa66615e8,4
