_id,name,description,price,area,material,landOptions,contractor_name,contractor_contact,images_exterior,images_interior,images_plan
6706f128dff7de9de76e174a,Apartment,This Apartment offers a spacious area of 1300 sqft and is priced at ₹20 lakhs. It is designed for modern living with premium materials and offers excellent land options.,20,1300,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Suburban'],John Doe,1234567890,"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/exterior/Apartment_1339_ext_10.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/exterior/Apartment_1339_ext_11.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/exterior/Apartment_1339_ext_12.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/exterior/Apartment_1339_ext_13.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/exterior/Apartment_1339_ext_14.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/exterior/Apartment_1339_ext_8.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/exterior/Apartment_1339_ext_9.jpg']",['https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/interior/Apartment_1339_int_2.jpg'],['https://house-designs-data.s3.ap-south-1.amazonaws.com/Apartment_1339/plan/Apartment_1339_pln_2.jpg']
6706f129dff7de9de76e174c,Appartment,This Appartment offers a spacious area of 2000 sqft and is priced at ₹115 lakhs. It is designed for modern living with premium materials and offers excellent land options.,115,2000,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Urban'],John Doe,1234567890,"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/exterior/Appartment_1195_ext_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/exterior/Appartment_1195_ext_6.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/exterior/Appartment_1195_ext_7.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/exterior/Appartment_1195_ext_8.jpg']","['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/interior/Appartment_1195_int_10.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/interior/Appartment_1195_int_11.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/interior/Appartment_1195_int_12.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/interior/Appartment_1195_int_13.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/interior/Appartment_1195_int_14.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/interior/Appartment_1195_int_15.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/interior/Appartment_1195_int_16.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/interior/Appartment_1195_int_9.jpg']",['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1195/plan/Appartment_1195_pln_2.jpg']
6706f129dff7de9de76e174e,Appartment,This Appartment offers a spacious area of 3150 sqft and is priced at ₹190 lakhs. It is designed for modern living with premium materials and offers excellent land options.,190,3150,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Urban'],John Doe,1234567890,"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/exterior/Appartment_1208_ext_4.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/exterior/Appartment_1208_ext_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/exterior/Appartment_1208_ext_6.jpg']","['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_11.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_12.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_13.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_14.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_15.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_16.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_17.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_18.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_19.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/interior/Appartment_1208_int_20.jpg']",['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1208/plan/Appartment_1208_pln_2.jpg']
6706f129dff7de9de76e1750,Appartment,This Appartment offers a spacious area of 3750 sqft and is priced at ₹200 lakhs. It is designed for modern living with premium materials and offers excellent land options.,200,3750,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Urban'],John Doe,1234567890,"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/exterior/Appartment_1364_ext_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/exterior/Appartment_1364_ext_6.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/exterior/Appartment_1364_ext_7.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/exterior/Appartment_1364_ext_8.jpg']","['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/interior/Appartment_1364_int_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/interior/Appartment_1364_int_6.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/interior/Appartment_1364_int_7.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/interior/Appartment_1364_int_8.jpg']",['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_1364/plan/Appartment_1364_pln_2.jpg']
6706f12adff7de9de76e1752,Appartment,This Appartment offers a spacious area of 4000 sqft and is priced at ₹205 lakhs. It is designed for modern living with premium materials and offers excellent land options.,205,4000,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Urban'],John Doe,1234567890,"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/exterior/Appartment_578_ext_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/exterior/Appartment_578_ext_2.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/exterior/Appartment_578_ext_3.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/exterior/Appartment_578_ext_4.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/exterior/Appartment_578_ext_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/exterior/Appartment_578_ext_6.jpg']","['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/interior/Appartment_578_int_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/interior/Appartment_578_int_2.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/interior/Appartment_578_int_3.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/interior/Appartment_578_int_4.jpg']",['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_578/plan/Appartment_578_pln_1.jpg']
6706f12adff7de9de76e1754,Appartment,This Appartment offers a spacious area of 4000 sqft and is priced at ₹210 lakhs. It is designed for modern living with premium materials and offers excellent land options.,210,4000,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Urban'],John Doe,1234567890,"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/exterior/Appartment_724_ext_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/exterior/Appartment_724_ext_2.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/exterior/Appartment_724_ext_3.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/exterior/Appartment_724_ext_4.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/exterior/Appartment_724_ext_5.jpg']","['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/interior/Appartment_724_int_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/interior/Appartment_724_int_2.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/interior/Appartment_724_int_3.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/interior/Appartment_724_int_4.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/interior/Appartment_724_int_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/interior/Appartment_724_int_6.jpg']",['https://house-designs-data.s3.ap-south-1.amazonaws.com/Appartment_724/plan/Appartment_724_pln_1.jpg']
6706f12adff7de9de76e1756,Art,This Art offers a spacious area of 2400 sqft and is priced at ₹100 lakhs. It is designed for modern living with premium materials and offers excellent land options.,100,2400,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Urban'],John Doe,1234567890,['https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/exterior/Art_gallery_1124_ext_2.jpg'],"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_11.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_12.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_13.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_14.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_15.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_16.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_17.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_18.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_19.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/interior/Art_gallery_1124_int_20.jpg']","['https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/plan/Art_gallery_1124_pln_4.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/plan/Art_gallery_1124_pln_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Art_gallery_1124/plan/Art_gallery_1124_pln_6.jpg']"
6706f12bdff7de9de76e1758,Bakery,This Bakery offers a spacious area of 1100 sqft and is priced at ₹50 lakhs. It is designed for modern living with premium materials and offers excellent land options.,50,1100,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Suburban'],John Doe,1234567890,['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/exterior/Bakery_1_ext_1.jpg'],"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_10.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_2.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_3.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_4.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_6.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_7.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_8.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/interior/Bakery_1_int_9.jpg']",['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bakery_1/plan/Bakery_1_pln_1.jpg']
6706f12bdff7de9de76e175a,Bookstore,This Bookstore offers a spacious area of 900 sqft and is priced at ₹35 lakhs. It is designed for modern living with premium materials and offers excellent land options.,35,900,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Suburban'],John Doe,1234567890,"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_514/exterior/Bookstore_514_ext_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_514/exterior/Bookstore_514_ext_2.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_514/exterior/Bookstore_514_ext_3.jpg']","['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_514/interior/Bookstore_514_int_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_514/interior/Bookstore_514_int_2.jpg']",['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_514/plan/Bookstore_514_pln_1.jpg']
6706f12cdff7de9de76e175c,Bookstore,This Bookstore offers a spacious area of 900 sqft and is priced at ₹25 lakhs. It is designed for modern living with premium materials and offers excellent land options.,25,900,"Concrete, Cement, Wood, Glass, Steel, Marbel Rock, Tiles",['Suburban'],John Doe,1234567890,['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/exterior/Bookstore_589_ext_1.jpg'],"['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/interior/Bookstore_589_int_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/interior/Bookstore_589_int_2.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/interior/Bookstore_589_int_3.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/interior/Bookstore_589_int_4.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/interior/Bookstore_589_int_5.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/interior/Bookstore_589_int_6.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/interior/Bookstore_589_int_7.jpg']","['https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/plan/Bookstore_589_pln_1.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/plan/Bookstore_589_pln_2.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/plan/Bookstore_589_pln_3.jpg', 'https://house-designs-data.s3.ap-south-1.amazonaws.com/Bookstore_589/plan/Bookstore_589_pln_4.jpg']"
